t,u,xd,x,I
3.039998,0.569314,0.299339,0.297957,32.000000
3.049998,-0.565516,0.300293,0.298509,82.000000
3.059998,0.559401,0.301247,0.299964,20.000000
3.069998,0.424637,0.302200,0.300400,50.000000
3.079998,-0.590287,0.303153,0.301418,88.000000
3.089998,-0.576716,0.304106,0.303338,52.000000
3.099998,0.576680,0.305058,0.304618,61.000000
3.109998,0.572966,0.306011,0.304793,-12.000000
3.119998,-0.596568,0.306962,0.305723,-24.000000
3.129997,-0.596603,0.307914,0.307963,-10.000000
3.139997,-0.586746,0.308865,0.309970,6.000000
3.149997,-0.565753,0.309816,0.311687,-10.000000
3.159997,0.458168,0.310767,0.313025,51.000000
3.169997,-0.565786,0.311717,0.313577,-40.000000
3.179997,-0.472501,0.312667,0.315206,-5.000000
3.189997,0.608790,0.313617,0.315817,-18.000000
3.199997,-0.054857,0.314566,0.315526,-8.000000
3.209997,0.106310,0.315515,0.316486,17.000000
3.219997,0.374786,0.316464,0.317214,60.000000
3.229997,-0.248213,0.317413,0.317883,11.000000
3.239997,0.569171,0.318361,0.318930,73.000000
3.249997,0.562976,0.319309,0.319250,-70.000000
3.259997,-0.573373,0.320256,0.320122,-53.000000
3.269997,0.582743,0.321203,0.321781,-52.000000
3.279997,0.569136,0.322150,0.321868,-29.000000
3.289997,-0.563546,0.323097,0.322420,-65.000000
3.299997,0.592611,0.324043,0.323439,13.000000
3.309997,0.592617,0.324989,0.323409,69.000000
3.319997,0.271364,0.325934,0.323846,6.000000
3.329997,-0.233844,0.326879,0.324922,-19.000000
3.339997,0.397351,0.327824,0.326057,-36.000000
3.349997,0.433323,0.328769,0.326667,-16.000000
3.359997,-0.577296,0.329713,0.327540,25.000000
3.369997,0.559159,0.330657,0.329024,10.000000
3.379997,-0.008670,0.331601,0.329780,-58.000000
3.389997,-0.579822,0.332544,0.331176,63.000000
3.399997,-0.566241,0.333487,0.332863,-72.000000
3.409997,0.569005,0.334429,0.333852,-49.000000
3.419997,0.176656,0.335372,0.334056,26.000000
3.429997,-0.583611,0.336314,0.335220,46.000000
3.439997,-0.570031,0.337255,0.337110,50.000000
3.449997,0.562781,0.338196,0.338390,-31.000000
3.459997,-0.597281,0.339137,0.339117,18.000000
3.469997,-0.591133,0.340078,0.341299,-34.000000
3.479997,-0.028829,0.341018,0.342986,-61.000000
3.489997,0.572655,0.341958,0.343452,-18.000000
3.499997,-0.580071,0.342898,0.344150,37.000000
3.509997,0.566456,0.343837,0.345866,43.000000
3.519997,0.566441,0.344776,0.346302,27.000000
3.529997,-0.577659,0.345714,0.347262,-74.000000
3.539997,-0.243961,0.346652,0.349037,8.000000
3.549997,0.592386,0.347590,0.349677,-80.000000
3.559997,0.566407,0.348528,0.349677,11.000000
3.569997,-0.564142,0.349465,0.350288,25.000000
3.579997,0.572565,0.350401,0.351480,14.000000
3.589997,0.592350,0.351338,0.351684,80.000000
3.599997,-0.449465,0.352274,0.352033,76.000000
3.609997,0.572541,0.353210,0.353226,17.000000
3.619997,0.566345,0.354145,0.353546,-71.000000
3.629997,-0.574172,0.355080,0.354273,83.000000
3.639997,-0.577906,0.356015,0.355960,3.000000
3.649997,0.589824,0.356949,0.357153,64.000000
3.659997,0.579927,0.357883,0.357269,22.000000
3.669997,-0.594078,0.358817,0.358054,57.000000
3.679997,-0.597825,0.359750,0.360178,-15.000000
